,Column,Value,Count
166,배합_염료3_Red,0.067,23
167,배합_염료3_Red,2.667,19
168,배합_염료3_Red,0.5,16
169,배합_염료3_Red,6.0,13
170,배합_염료3_Red,0.1,12
171,배합_염료3_Red,0.05,12
172,배합_염료3_Red,3.0,10
173,배합_염료3_Red,1.5,2
174,배합_염료3_Red,2.5,2
175,배합_염료3_Red,1.667,2
176,배합_염료3_Red,0.833,1
177,배합_염료3_Blue,0.0,2825
178,배합_염료3_Blue,2.0,63
179,배합_염료3_Blue,0.033,56
180,배합_염료3_Blue,0.333,53
181,배합_염료3_Blue,0.667,51
182,배합_염료3_Blue,1.333,50
183,배합_염료3_Blue,1.0,40
184,배합_염료3_Blue,4.0,34
185,배합_염료3_Blue,0.167,32
186,배합_염료3_Blue,0.017,31
187,배합_염료3_Blue,0.067,23
188,배합_염료3_Blue,2.667,20
189,배합_염료3_Blue,0.5,17
190,배합_염료3_Blue,0.05,12
191,배합_염료3_Blue,0.1,12
192,배합_염료3_Blue,6.0,12
193,배합_염료3_Blue,3.0,10
194,배합_염료3_Blue,2.5,2
195,배합_염료3_Blue,1.5,2
196,배합_염료3_Blue,0.833,1
197,배합_염료3_Blue,1.667,1
198,배합_염료1_Black,0.0,3205
199,배합_염료1_Black,6.0,25
200,배합_염료1_Black,2.0,19
201,배합_염료1_Black,0.05,17
202,배합_염료1_Black,1.0,15
203,배합_염료1_Black,4.0,15
204,배합_염료1_Black,3.0,13
205,배합_염료1_Black,0.5,11
206,배합_염료1_Black,0.1,10
207,배합_염료1_Black,1.5,7
208,배합_염료1_Black,2.5,7
209,배합_염료1_Black,5.0,3
210,배합_염료2_Black,0.0,3266
211,배합_염료2_Black,6.0,23
212,배합_염료2_Black,2.0,21
213,배합_염료2_Black,0.05,15
214,배합_염료2_Black,4.0,8
215,배합_염료2_Black,1.0,7
216,배합_염료2_Black,5.0,3
217,배합_염료2_Black,3.0,2
218,배합_염료2_Black,0.1,1
219,배합_염료2_Black,2.5,1
220,배합_염료3_Black,0.0,3240
221,배합_염료3_Black,6.0,17
222,배합_염료3_Black,2.0,16
223,배합_염료3_Black,4.0,15
224,배합_염료3_Black,1.0,14
225,배합_염료3_Black,3.0,12
226,배합_염료3_Black,0.1,10
227,배합_염료3_Black,0.5,10
228,배합_염료3_Black,0.05,9
229,배합_염료3_Black,5.0,3
230,배합_염료3_Black,2.5,1
231,배합_염료1_Grey,0.0,3209
232,배합_염료1_Grey,6.0,22
233,배합_염료1_Grey,2.0,19
234,배합_염료1_Grey,0.05,18
235,배합_염료1_Grey,4.0,16
236,배합_염료1_Grey,1.0,13
237,배합_염료1_Grey,3.0,13
238,배합_염료1_Grey,0.5,11
239,배합_염료1_Grey,0.1,9
240,배합_염료1_Grey,1.5,8
241,배합_염료1_Grey,2.5,6
242,배합_염료1_Grey,5.0,3
243,배합_염료2_Grey,0.0,3256
244,배합_염료2_Grey,2.0,25
245,배합_염료2_Grey,6.0,25
246,배합_염료2_Grey,0.05,18
247,배합_염료2_Grey,1.0,7
248,배합_염료2_Grey,4.0,7
249,배합_염료2_Grey,3.0,3
250,배합_염료2_Grey,5.0,3
251,배합_염료2_Grey,0.1,1
252,배합_염료2_Grey,0.5,1
253,배합_염료2_Grey,2.5,1
254,배합_염료3_Grey,0.0,3237
255,배합_염료3_Grey,4.0,18
256,배합_염료3_Grey,6.0,18
257,배합_염료3_Grey,2.0,17
258,배합_염료3_Grey,1.0,14
259,배합_염료3_Grey,0.1,11
260,배합_염료3_Grey,3.0,10
261,배합_염료3_Grey,0.05,9
262,배합_염료3_Grey,0.5,8
263,배합_염료3_Grey,5.0,3
264,배합_염료3_Grey,1.5,1
265,배합_염료3_Grey,2.5,1
266,배합_염료2_Brown,0.0,3265
267,배합_염료2_Brown,2.0,20
268,배합_염료2_Brown,6.0,20
269,배합_염료2_Brown,0.05,17
270,배합_염료2_Brown,1.0,6
271,배합_염료2_Brown,4.0,5
272,배합_염료2_Brown,0.5,3
273,배합_염료2_Brown,1.5,3
274,배합_염료2_Brown,2.5,3
275,배합_염료2_Brown,3.0,3
276,배합_염료2_Brown,0.1,1
277,배합_염료2_Brown,5.0,1
278,배합_염료1_Brown,0.0,3201
279,배합_염료1_Brown,2.0,22
